100 1412
0 1 94550
0 4 118950
0 5 7625
0 7 141825
0 8 99125
0 9 138775
0 13 132675
0 16 134200
0 17 85400
0 18 99125
0 19 144875
0 20 120475
0 24 94550
0 26 15250
0 30 88450
0 31 86925
0 32 102175
0 40 146400
0 43 36600
0 50 27450
0 56 128100
0 59 51850
0 60 61000
0 65 65575
0 68 114375
0 70 111325
0 77 27450
0 80 144875
0 92 118950
1 9 71675
1 12 25925
1 14 120475
1 19 50325
1 24 129625
1 27 50325
1 28 68625
1 37 102175
1 43 57950
1 44 99125
1 49 103700
1 59 47275
1 63 128100
1 68 36600
1 71 128100
1 82 122000
1 93 70150
1 97 54900
2 10 96075
2 15 39650
2 16 62525
2 19 88450
2 33 82350
2 34 61000
2 45 70150
2 51 22875
2 58 82350
2 60 38125
2 62 48800
2 67 74725
2 71 70150
2 77 76250
2 78 67100
2 79 71675
2 80 50325
2 96 76250
2 97 61000
3 11 80825
3 17 100650
3 25 41175
3 26 115900
3 28 76250
3 29 109800
3 34 32025
3 36 24400
3 38 44225
3 40 22875
3 41 16775
3 43 85400
3 49 94550
3 51 80825
3 53 70150
3 55 71675
3 62 103700
3 64 122000
3 70 28975
3 73 118950
3 74 54900
3 75 62525
3 76 96075
3 80 74725
3 83 39650
3 85 45750
3 86 25925
3 87 53375
3 88 67100
3 90 118950
3 92 158600
3 93 100650
3 95 68625
4 6 88450
4 7 59475
4 8 82350
4 9 18300
4 10 122000
4 11 62525
4 14 100650
4 17 71675
4 18 28975
4 27 86925
4 32 27450
4 33 62525
4 34 25925
4 43 85400
4 52 53375
4 54 76250
4 56 45750
4 60 71675
4 64 103700
4 68 24400
4 69 118950
4 70 10675
4 71 70150
4 72 45750
4 74 27450
4 76 67100
4 78 96075
4 85 77775
4 86 42700
4 88 47275
4 93 100650
4 94 53375
4 98 105225
5 14 89975
5 22 62525
5 28 79300
5 30 93025
5 33 120475
5 34 146400
5 37 89975
5 40 147925
5 43 39650
5 44 154025
5 50 22875
5 51 115900
5 52 96075
5 58 85400
5 59 56425
5 61 125050
5 62 67100
5 63 118950
5 73 12200
5 74 103700
5 75 82350
5 81 144875
5 82 131150
5 86 150975
5 96 25925
6 7 147925
6 9 96075
6 16 118950
6 27 125050
6 29 102175
6 36 149450
6 38 80825
6 48 41175
6 51 42700
6 64 74725
6 66 48800
6 69 138775
6 72 70150
6 77 118950
6 78 96075
6 84 93025
6 89 146400
6 90 123525
6 91 88450
6 94 93025
6 98 99125
7 8 138775
7 12 56425
7 13 18300
7 15 114375
7 18 83875
7 19 3050
7 22 85400
7 25 61000
7 26 135725
7 30 71675
7 35 106750
7 36 6100
7 43 105225
7 48 108275
7 50 128100
7 51 105225
7 58 64050
7 59 91500
7 61 129625
7 64 146400
7 71 125050
7 72 89975
7 75 86925
7 78 126575
7 86 27450
7 90 137250
7 94 94550
7 97 102175
8 15 48800
8 16 112850
8 17 16775
8 20 38125
8 21 61000
8 28 45750
8 30 70150
8 33 132675
8 35 35075
8 36 138775
8 40 132675
8 41 131150
8 48 45750
8 64 50325
8 65 47275
8 70 83875
8 77 96075
8 79 21350
8 80 76250
8 85 137250
8 86 126575
8 89 122000
8 94 102175
9 12 54900
9 14 114375
9 15 91500
9 18 45750
9 20 131150
9 21 44225
9 22 106750
9 27 106750
9 31 93025
9 34 15250
9 38 21350
9 39 13725
9 40 47275
9 46 61000
9 48 53375
9 60 88450
9 65 128100
9 76 79300
9 78 114375
9 80 33550
9 81 7625
9 86 36600
9 91 24400
9 92 138775
9 96 117425
10 12 91500
10 21 138775
10 28 74725
10 30 91500
10 33 122000
10 34 144875
10 35 83875
10 43 39650
10 46 115900
10 47 67100
10 48 125050
10 52 97600
10 54 88450
10 55 135725
10 56 129625
10 57 140300
10 59 54900
10 60 62525
10 67 147925
10 71 163175
10 72 79300
10 73 7625
10 74 100650
10 80 147925
10 83 125050
10 86 150975
10 93 27450
10 94 170800
10 95 67100
11 15 10675
11 18 36600
11 20 82350
11 21 71675
11 23 21350
11 24 59475
11 32 39650
11 34 88450
11 40 103700
11 46 80825
11 49 51850
11 63 62525
11 66 76250
11 68 68625
11 71 96075
11 72 16775
11 73 57950
11 74 36600
11 76 32025
11 77 50325
11 80 80825
11 90 62525
11 93 54900
11 94 105225
11 95 13725
11 97 39650
12 16 44225
12 21 76250
12 27 51850
12 32 41175
12 40 57950
12 44 76250
12 45 96075
12 52 21350
12 55 67100
12 62 70150
12 65 100650
12 70 25925
12 74 35075
12 76 70150
12 83 41175
12 89 88450
12 90 85400
12 93 67100
12 95 33550
13 16 45750
13 17 128100
13 27 88450
13 28 102175
13 29 123525
13 31 47275
13 33 13725
13 34 62525
13 35 109800
13 40 33550
13 41 16775
13 46 22875
13 47 89975
13 50 115900
13 52 39650
13 53 65575
13 55 105225
13 61 137250
13 62 126575
13 63 157075
13 65 155550
13 68 45750
13 76 125050
13 77 105225
13 82 146400
13 86 45750
13 90 128100
13 94 111325
13 97 94550
14 16 128100
14 17 28975
14 20 38125
14 22 114375
14 27 96075
14 28 51850
14 31 128100
14 41 143350
14 45 15250
14 50 105225
14 55 89975
14 61 51850
14 65 21350
14 66 85400
14 67 141825
14 71 102175
14 72 61000
14 73 77775
14 74 73200
14 77 85400
14 81 111325
14 82 53375
14 84 108275
14 85 143350
14 90 83875
14 95 64050
15 17 32025
15 23 30500
15 25 54900
15 31 83875
15 33 100650
15 35 24400
15 36 111325
15 38 70150
15 41 105225
15 42 86925
15 46 89975
15 48 67100
15 49 57950
15 57 117425
15 59 33550
15 60 4575
15 61 61000
15 64 30500
15 66 83875
15 67 108275
15 68 77775
15 73 50325
15 74 47275
15 76 35075
15 77 47275
15 78 27450
15 79 62525
15 81 89975
15 84 82350
15 85 99125
15 89 74725
15 91 68625
15 92 82350
15 93 50325
15 97 38125
16 20 150975
16 21 71675
16 25 51850
16 29 117425
16 33 42700
16 34 16775
16 35 82350
16 37 106750
16 40 19825
16 42 160125
16 46 35075
16 47 74725
16 48 77775
16 50 126575
16 51 76250
16 52 47275
16 55 62525
16 56 74725
16 63 123525
16 67 12200
16 68 18300
16 72 68625
16 75 67100
16 79 134200
16 87 65575
16 95 74725
17 19 126575
17 20 53375
17 22 100650
17 26 70150
17 35 18300
17 37 7625
17 38 65575
17 40 120475
17 42 62525
17 47 44225
17 54 4575
17 55 61000
17 60 27450
17 64 42700
17 65 44225
17 69 99125
17 72 36600
17 81 82350
17 82 38125
17 88 36600
17 90 85400
17 94 99125
17 96 76250
18 25 45750
18 31 83875
18 34 54900
18 37 48800
18 47 33550
18 48 33550
18 49 36600
18 52 62525
18 53 85400
18 61 45750
18 62 54900
18 65 82350
18 69 103700
18 81 42700
18 84 38125
18 86 71675
18 87 53375
18 88 22875
18 97 65575
18 99 25925
19 25 64050
19 26 138775
19 28 102175
19 30 71675
19 32 83875
19 34 44225
19 35 106750
19 39 45750
19 43 108275
19 47 93025
19 50 131150
19 52 50325
19 58 67100
19 62 129625
19 68 39650
19 71 122000
19 73 141825
19 77 117425
19 87 76250
19 89 135725
19 92 184525
19 97 105225
20 28 82350
20 29 100650
20 36 176900
20 38 112850
20 41 169275
20 45 51850
20 47 97600
20 53 155550
20 54 48800
20 55 99125
20 58 161650
20 65 54900
20 66 86925
20 68 138775
20 74 96075
20 78 96075
20 86 164700
20 89 146400
20 92 9150
20 93 126575
20 97 117425
21 22 125050
21 24 86925
21 26 120475
21 33 108275
21 34 59475
21 38 36600
21 45 97600
21 47 73200
21 52 97600
21 53 125050
21 57 118950
21 63 65575
21 69 143350
21 70 54900
21 71 25925
21 78 108275
21 79 80825
21 91 48800
21 94 41175
22 25 42700
22 29 62525
22 32 86925
22 33 61000
22 40 94550
22 42 158600
22 43 35075
22 44 128100
22 47 57950
22 50 42700
22 56 118950
22 57 77775
22 58 24400
22 59 36600
22 64 93025
22 65 106750
22 68 73200
22 70 77775
22 73 61000
22 76 100650
22 77 36600
22 78 62525
22 80 126575
22 81 109800
22 83 93025
22 85 47275
22 89 47275
23 29 62525
23 31 88450
23 36 100650
23 38 44225
23 40 96075
23 41 93025
23 43 61000
23 46 80825
23 48 38125
23 49 32025
23 50 96075
23 52 71675
23 53 86925
23 67 88450
23 69 94550
23 72 15250
23 73 80825
23 74 21350
23 78 57950
23 80 59475
23 83 50325
23 90 83875
23 92 82350
24 26 79300
24 28 61000
24 32 79300
24 46 138775
24 50 117425
24 52 126575
24 60 51850
24 62 41175
24 65 30500
24 66 83875
24 67 147925
24 69 114375
24 84 112850
24 90 96075
24 96 93025
25 27 42700
25 28 44225
25 32 47275
25 34 62525
25 35 54900
25 36 57950
25 40 64050
25 46 33550
25 47 32025
25 48 79300
25 52 19825
25 57 62525
25 58 38125
25 59 30500
25 62 68625
25 68 32025
25 74 41175
25 75 32025
25 76 71675
25 77 56425
25 78 65575
25 79 109800
25 84 53375
25 88 36600
25 89 80825
25 94 99125
25 98 76250
26 30 76250
26 32 88450
26 36 131150
26 45 53375
26 50 38125
26 54 70150
26 55 118950
26 56 112850
26 59 44225
26 63 94550
26 65 50325
26 66 125050
26 69 35075
26 70 99125
26 71 144875
26 78 12200
26 86 138775
26 95 51850
26 96 21350
26 98 9150
27 28 59475
27 31 42700
27 35 71675
27 37 85400
27 38 89975
27 42 140300
27 46 68625
27 52 50325
27 54 88450
27 57 93025
27 61 111325
27 64 73200
27 69 32025
27 70 76250
27 73 42700
27 77 16775
27 78 42700
27 80 122000
27 88 56425
27 93 19825
27 96 22875
28 29 50325
28 36 99125
28 38 50325
28 39 70150
28 43 47275
28 47 15250
28 48 51850
28 49 44225
28 50 82350
28 52 65575
28 54 33550
28 58 79300
28 59 36600
28 63 59475
28 65 57950
28 68 62525
28 69 80825
28 71 88450
28 72 9150
28 77 57950
28 78 45750
28 80 71675
28 81 70150
28 83 56425
28 87 45750
28 89 86925
28 92 86925
28 93 62525
28 94 96075
28 98 53375
29 33 109800
29 34 123525
29 40 132675
29 43 27450
29 48 100650
29 50 42700
29 54 64050
29 58 82350
29 60 38125
29 65 47275
29 67 129625
29 73 16775
29 74 76250
29 79 85400
29 80 123525
29 84 109800
29 85 103700
29 87 56425
29 89 45750
29 97 28975
30 34 53375
30 35 35075
30 37 61000
30 41 62525
30 44 62525
30 47 24400
30 48 54900
30 49 56425
30 54 59475
30 66 67100
30 67 62525
30 70 22875
30 71 86925
30 73 83875
30 74 16775
30 80 62525
30 81 50325
30 84 39650
30 86 65575
30 87 33550
30 90 85400
30 92 114375
30 93 70150
30 94 80825
30 96 68625
30 98 76250
31 33 35075
31 35 91500
31 43 54900
31 44 118950
31 46 36600
31 48 117425
31 51 105225
31 54 114375
31 55 111325
31 62 97600
31 63 140300
31 70 67100
31 72 73200
31 76 108275
31 77 61000
31 82 137250
31 85 21350
31 93 62525
31 97 53375
32 35 28975
32 43 71675
32 49 36600
32 52 62525
32 55 30500
32 59 56425
32 62 57950
32 64 77775
32 66 44225
32 68 44225
32 69 106750
32 76 39650
32 77 83875
32 79 77775
32 83 27450
32 94 65575
32 95 36600
32 98 85400
33 34 61000
33 36 19825
33 42 179950
33 44 102175
33 48 109800
33 52 25925
33 54 122000
33 58 36600
33 59 71675
33 61 126575
33 62 114375
33 65 143350
33 68 38125
33 74 76250
33 76 114375
33 89 108275
33 90 114375
33 91 59475
33 92 175375
33 94 108275
33 95 77775
34 35 80825
34 42 155550
34 45 131150
34 46 51850
34 51 70150
34 52 62525
34 53 99125
34 58 86925
34 59 89975
34 62 109800
34 71 79300
34 76 91500
34 77 117425
34 85 77775
34 87 76250
34 89 143350
34 96 120475
35 41 97600
35 43 59475
35 55 53375
35 65 56425
35 69 91500
35 79 54900
35 80 65575
35 86 97600
35 88 18300
35 90 80825
36 38 70150
36 43 100650
36 44 94550
36 54 129625
36 56 106750
36 57 13725
36 66 115900
36 69 125050
36 73 134200
36 78 123525
36 85 38125
36 96 114375
37 51 39650
37 54 3050
37 60 27450
37 63 30500
37 67 118950
37 68 93025
37 69 97600
37 71 85400
37 72 41175
37 75 45750
37 80 80825
37 81 89975
37 82 41175
37 83 79300
37 84 86925
37 86 122000
37 96 76250
37 98 57950
38 42 123525
38 43 85400
38 44 33550
38 46 59475
38 47 53375
38 49 51850
38 51 38125
38 54 70150
38 57 82350
38 58 85400
38 63 85400
38 69 120475
38 76 59475
38 83 6100
38 85 85400
38 86 50325
38 87 62525
38 88 44225
38 94 50325
38 95 53375
38 96 99125
39 40 36600
39 49 74725
39 55 45750
39 66 64050
39 67 25925
39 69 128100
39 72 61000
39 76 82350
39 79 120475
39 87 67100
39 88 62525
39 95 67100
39 96 109800
39 97 91500
39 98 118950
40 42 181475
40 45 149450
40 49 109800
40 53 88450
40 57 33550
40 67 10675
40 78 129625
40 82 128100
40 83 51850
40 86 12200
40 88 88450
40 89 140300
40 90 141825
40 91 50325
40 96 123525
40 97 105225
40 98 140300
41 47 80825
41 49 112850
41 51 97600
41 59 80825
41 60 105225
41 65 147925
41 67 27450
41 68 30500
41 72 80825
41 73 128100
41 74 73200
41 81 65575
41 83 57950
41 88 82350
41 89 122000
41 92 175375
41 96 108275
41 97 91500
42 47 105225
42 66 96075
42 68 149450
42 70 132675
42 78 102175
42 79 25925
42 81 135725
42 83 129625
42 88 100650
42 92 6100
42 93 132675
42 94 141825
42 95 105225
42 97 125050
42 98 100650
43 44 117425
43 52 57950
43 53 41175
43 59 15250
43 63 102175
43 64 57950
43 65 71675
43 68 77775
43 70 74725
43 73 33550
43 75 45750
43 76 73200
43 77 10675
43 84 94550
43 87 32025
43 88 45750
43 98 36600
44 47 82350
44 49 51850
44 58 118950
44 62 99125
44 66 25925
44 68 64050
44 74 50325
44 79 100650
44 80 4575
44 81 22875
44 82 62525
44 83 35075
44 90 144875
44 97 114375
44 98 129625
45 47 61000
45 48 82350
45 52 114375
45 60 38125
45 62 24400
45 69 88450
45 70 102175
45 74 77775
45 76 42700
45 77 74725
45 79 38125
45 81 118950
45 83 106750
45 87 88450
45 88 61000
45 97 71675
46 48 97600
46 51 89975
46 53 51850
46 56 96075
46 58 36600
46 59 62525
46 61 114375
46 64 120475
46 71 122000
46 73 109800
46 74 64050
46 77 85400
46 78 99125
46 83 56425
46 98 109800
47 51 48800
47 53 59475
47 55 68625
47 61 67100
47 62 36600
47 68 56425
47 70 47275
47 75 10675
47 78 41175
47 85 77775
47 87 30500
47 91 48800
47 95 0
47 96 47275
47 97 32025
48 52 94550
48 53 118950
48 57 122000
48 64 86925
48 75 53375
48 77 109800
48 86 89975
48 91 50325
48 93 114375
48 94 56425
48 95 64050
49 50 126575
49 54 32025
49 58 118950
49 62 56425
49 65 73200
49 66 30500
49 73 108275
49 77 103700
49 79 48800
49 84 65575
49 85 126575
49 87 86925
49 94 73200
49 95 59475
49 97 89975
50 54 103700
50 62 77775
50 65 89975
50 67 135725
50 69 3050
50 70 108275
50 71 170800
50 73 30500
50 82 140300
50 86 138775
50 93 19825
50 94 170800
50 95 70150
51 53 106750
51 57 115900
51 58 105225
51 65 76250
51 69 117425
51 72 35075
51 78 80825
51 80 41175
51 86 89975
51 89 123525
51 90 106750
51 94 67100
51 95 48800
51 97 80825
52 53 36600
52 60 76250
52 61 108275
52 66 106750
52 67 54900
52 68 32025
52 69 82350
52 77 67100
52 86 59475
52 87 25925
52 90 89975
52 92 152500
52 98 91500
53 57 70150
53 58 16775
53 71 150975
53 78 70150
53 79 138775
53 84 93025
53 85 39650
53 87 32025
53 88 70150
53 89 54900
53 91 80825
53 95 59475
54 57 138775
54 60 30500
54 66 64050
54 67 117425
54 72 41175
54 73 80825
54 80 76250
